city_id,restaurant_id,food_id,food_name,price,is_dinner,food_type,cuisine,Beijing,Tianjin,Hebei,Shanxi,Nei Mongol,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Xizang,Shanxi2,Gansu,Qinghai,Ningxia,Xinjiang,not-spicy,slightly-spicy,medium-spicy,extra-spicy,child,teenager,adult,middle-ager,elderly,breakfast,lunch,dinner,afternoon-tea,night-snack,male,female,spring,summer,autumn,winter,food_score,image_name
2,1,1,酥香嫩烤鸭,259,2,1,0,4,4,3,3,3,3,3,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,1,0,0,0,4,4,4,4,4,2,4,4,1,4,3,3,4,4,4,4,1,2-1-1.jpg
2,1,2,贝勒烤肉,88,2,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,1,0,0,0,3,4,4,4,3,2,4,4,1,4,3,3,4,4,4,2,1,2-1-2.jpg
2,1,3,巧拌豆苗,45,2,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,4,4,3,3,4,2,4,4,1,3,3,3,4,4,2,2,2,2-1-3.jpg
2,1,4,蜜汁酥皮虾,89,2,1,0,4,4,4,4,3,4,4,4,3,3,3,3,3,2,4,3,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3,1,0,0,0,4,4,4,4,3,5,4,4,1,4,3,3,4,4,4,4,2,2-1-4.jpg
2,1,5,老北京炸酱面,26,1,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,0,4,4,4,4,4,2,4,4,1,4,4,3,4,4,4,4,3,2-1-5.jpg
2,1,6,宫保鸡丁,49,2,1,0,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,4,4,3,3,3,4,4,4,3,3,3,3,3,3,3,1,1,0,0,4,4,4,4,3,2,4,4,1,4,3,3,4,4,4,4,3,2-1-6.jpg
2,1,7,芥末鸭掌,69,2,1,0,4,4,4,4,3,4,4,4,3,3,3,3,3,2,4,3,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3,1,1,1,1,3,4,4,4,3,2,4,4,1,4,4,3,4,4,4,4,4,2-1-7.jpg
2,1,8,豌豆黄,22,2,1,0,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,1,0,0,0,4,4,4,4,3,2,4,4,1,4,3,3,4,4,4,4,4,2-1-8.jpg
2,1,9,驴打滚,25,2,1,0,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,4,4,3,3,3,4,4,4,3,3,3,3,3,3,3,1,0,0,0,4,4,4,4,3,2,4,4,1,3,4,3,4,4,4,4,5,2-1-9.jpg
2,1,10,宫廷杏仁豆腐,16,2,1,0,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,1,0,0,0,4,4,4,4,4,2,4,4,1,4,3,3,4,4,4,2,5,2-1-10.jpg
