restaurant_name,city_id,restaurant_id,province_id,average_price,average_score,restaurant_type,Beijing,Tianjin,Hebei,Shanxi,Nei Mongol,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Xizang,Shanxi2,Gansu,Qinghai,Ningxia,Xinjiang,not-spicy,slightly-spicy,medium-spicy,extra-spicy,child,teenager,adult,middle-ager,elderly,breakfast,lunch,dinner,afternoon-tea,night-snack,male,female,price,is_chain,image_name
胡记锅贴,1,1,9,19,4,4,3,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,1,1,0,0,3,4,4,3,3,5,3,3,3,3,4,4,2,0,1-1.jpg
肖四女乐山跷脚牛肉,1,2,9,70,4.5,1,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,2,2,4,4,4,2,2,2,3,3,3,3,3,3,3,1,0,0,0,2,4,4,3,3,2,4,4,2,2,3,3,4,0,1-2.jpg
淘小馆·上海本帮菜,1,3,9,89,4.4,1,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,4,4,2,2,2,2,3,3,3,2,2,2,1,1,0,0,3,3,4,4,3,2,4,4,2,2,4,4,4,0,1-3.jpg
耶里夏丽,1,4,9,92,4.5,1,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,1,0,1,1,3,4,4,4,4,1,3,3,1,2,3,3,4,0,1-4.jpg
丰和日丽,1,5,9,143,4.5,1,3,3,3,3,3,2,2,2,4,4,4,4,4,4,3,3,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3,1,1,0,0,1,3,3,3,2,1,3,3,2,2,4,4,4,0,1-5.jpg
金时代顺风大酒店,1,6,9,137,4.5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,3,4,4,4,4,2,4,4,2,3,4,4,5,0,1-6.jpg
喜茶,1,7,9,23,3.9,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,1-7.jpg
KFC,1,8,9,36,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,1-8.jpg
必胜客,1,9,9,66,4.1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,1-9.jpg
麦当劳,1,10,9,34,3.7,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,1-10.jpg
达美乐比萨,1,11,9,58,4.5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,1-11.jpg
浆小白·豆浆夜市,1,12,9,14,3.5,4,4,3,3,3,3,3,3,3,4,4,4,4,4,2,2,3,3,3,2,2,2,3,3,3,2,2,2,2,2,3,3,1,0,0,0,4,3,3,3,4,4,3,3,2,3,3,4,2,0,1-12.jpg
海金滋,1,13,9,68,3.8,1,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,2,2,2,2,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,2,3,3,1,3,3,3,4,0,1-13.jpg
巴比馒头,1,14,9,11,3.6,3,3,3,2,2,3,2,2,2,3,3,3,3,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,4,4,2,2,2,2,3,3,1,0,1-14.jpg
王敏熟食店,1,15,9,23,3.2,7,4,4,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,2,2,3,1,1,1,0,3,4,4,4,2,2,3,3,2,3,4,3,3,0,1-15.jpg
Popeyes炸鸡·汉堡·奶昔,1,16,9,48,3.7,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,1,1,0,0,2,3,3,3,2,3,3,3,2,4,3,3,2,0,1-16.jpg
老上海菜馆,1,17,9,87,3.8,1,3,3,3,3,3,3,3,3,5,5,5,5,5,3,3,3,3,3,5,3,5,3,3,3,3,3,3,3,3,3,3,1,0,0,0,4,4,4,4,4,2,3,3,3,3,3,3,5,0,1-17.jpg
老上海现炒浇头本帮面,1,18,9,29,4.3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,3,3,3,3,3,5,3,5,3,3,3,3,3,3,3,3,3,3,1,0,0,0,4,4,4,4,4,2,3,3,3,3,3,3,5,0,1-18.jpg
人和馆·上海菜,1,19,9,203,4.7,1,3,3,3,3,3,3,3,3,5,5,5,5,5,3,3,3,3,3,5,3,5,3,3,3,3,3,3,3,3,3,3,1,0,0,0,4,4,4,4,4,2,3,3,3,3,3,3,5,0,1-19.jpg
老克嘞上海菜,1,20,9,119,3.8,1,3,3,3,3,3,3,3,3,5,5,5,5,5,3,3,3,3,3,5,3,5,3,3,3,3,3,3,3,3,3,3,1,0,0,0,4,4,4,4,4,2,3,3,3,3,3,3,5,0,1-20.jpg
四季民福烤鸭店,2,1,1,162,4.7,1,5,5,4,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,0,0,3,4,4,4,3,2,4,4,1,1,4,3,4,0,2-1.jpg
烧肉馆,2,2,1,105,3.9,1,5,4,4,3,3,3,3,3,4,4,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,0,0,3,4,4,3,3,2,4,4,1,1,3,3,3,0,2-2.jpg
门框胡同百年卤煮,2,3,1,50,4.1,1,5,5,4,4,3,3,3,3,4,4,4,3,3,3,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,2,4,3,3,3,3,3,3,1,2,3,3,2,0,2-3.jpg
